op,star,end,delta
800,2172.837000,2174.763000,1.926000
801,2180.615000,2182.681000,2.066000
802,2188.951000,2190.911000,1.960000
803,2197.279000,2199.377000,2.098000
804,2205.580000,2207.561000,1.981000
805,2213.667000,2215.738000,2.071000
806,2222.024000,2224.050000,2.026000
807,2230.516000,2232.607000,2.091000
808,2238.800000,2240.872000,2.072000
809,2247.026000,2249.183000,2.157000
810,2255.511000,2257.519000,2.008000
811,2263.970000,2266.043000,2.073000
812,2272.142000,2274.201000,2.059000
813,2280.426000,2282.364000,1.938000
814,2288.594000,2290.641000,2.047000
815,2296.805000,2298.881000,2.076000
816,2305.125000,2307.637000,2.512000
817,2314.275000,2316.444000,2.169000
818,2322.618000,2324.607000,1.989000
819,2330.626000,2332.756000,2.130000
820,2339.179000,2341.337000,2.158000
821,2347.728000,2349.824000,2.096000
822,2356.028000,2358.014000,1.986000
823,2364.288000,2366.446000,2.158000
824,2372.867000,2375.381000,2.514000
825,2381.758000,2383.927000,2.169000
826,2390.416000,2392.597000,2.181000
827,2398.907000,2401.100000,2.193000
828,2407.759000,2410.444000,2.685000
829,2416.828000,2418.975000,2.147000
830,2425.807000,2427.901000,2.094000
831,2434.141000,2436.421000,2.280000
832,2443.611000,2445.754000,2.143000
833,2452.206000,2454.673000,2.467000
834,2461.340000,2463.567000,2.227000
835,2470.037000,2472.468000,2.431000
836,2479.479000,2481.681000,2.202000
837,2488.293000,2490.694000,2.401000
838,2497.261000,2499.524000,2.263000
839,2506.279000,2509.167000,2.888000
840,2515.727000,2518.019000,2.292000
841,2524.325000,2526.506000,2.181000
842,2532.999000,2535.239000,2.240000
843,2542.405000,2544.539000,2.134000
844,2550.955000,2553.495000,2.540000
845,2560.151000,2562.430000,2.279000
846,2569.091000,2571.588000,2.497000
847,2578.538000,2580.817000,2.279000
848,2587.634000,2589.919000,2.285000
849,2596.736000,2599.056000,2.320000
850,2606.089000,2608.670000,2.581000
851,2615.642000,2617.945000,2.303000
852,2625.639000,2628.047000,2.408000
853,2634.746000,2637.052000,2.306000
854,2643.838000,2646.000000,2.162000
855,2652.644000,2655.236000,2.592000
856,2662.512000,2664.898000,2.386000
857,2671.607000,2673.770000,2.163000
858,2680.414000,2682.701000,2.287000
859,2689.767000,2692.537000,2.770000
860,2699.187000,2701.473000,2.286000
861,2708.582000,2711.030000,2.448000
862,2717.891000,2720.421000,2.530000
863,2727.785000,2730.003000,2.218000
864,2736.918000,2739.536000,2.618000
865,2746.481000,2748.908000,2.427000
866,2756.197000,2759.157000,2.960000
867,2766.079000,2768.418000,2.339000
868,2775.385000,2777.829000,2.444000
869,2784.613000,2787.250000,2.637000
870,2794.944000,2797.314000,2.370000
871,2804.502000,2806.734000,2.232000
872,2813.855000,2816.286000,2.431000
873,2823.721000,2826.772000,3.051000
874,2833.654000,2836.086000,2.432000
875,2843.985000,2846.354000,2.369000
876,2853.324000,2855.954000,2.630000
877,2863.269000,2865.707000,2.438000
878,2873.313000,2876.185000,2.872000
879,2883.205000,2885.598000,2.393000
880,2892.744000,2895.111000,2.367000
881,2902.087000,2904.844000,2.757000
882,2912.335000,2914.651000,2.316000
883,2922.003000,2924.361000,2.358000
884,2931.475000,2933.958000,2.483000
885,2941.841000,2944.285000,2.444000
886,2951.308000,2953.682000,2.374000
887,2960.900000,2963.353000,2.453000
888,2970.607000,2973.014000,2.407000
889,2980.743000,2983.224000,2.481000
890,2990.454000,2992.951000,2.497000
891,3000.179000,3002.657000,2.478000
892,3010.646000,3013.176000,2.530000
893,3020.374000,3022.958000,2.584000
894,3030.205000,3032.752000,2.547000
895,3040.328000,3043.459000,3.131000
896,3050.584000,3053.110000,2.526000
897,3061.191000,3063.764000,2.573000
898,3071.281000,3073.675000,2.394000
899,3080.930000,3083.496000,2.566000
900,3091.720000,3094.219000,2.499000
901,3101.551000,3104.306000,2.755000
902,3111.681000,3114.073000,2.392000
903,3121.901000,3124.549000,2.648000
904,3132.268000,3134.794000,2.526000
905,3142.402000,3144.916000,2.514000
906,3152.387000,3155.407000,3.020000
907,3163.689000,3166.291000,2.602000
908,3173.885000,3176.453000,2.568000
909,3184.568000,3187.350000,2.782000
910,3195.472000,3197.934000,2.462000
911,3205.824000,3208.345000,2.521000
912,3216.151000,3218.714000,2.563000
913,3227.333000,3229.797000,2.464000
914,3237.804000,3240.376000,2.572000
915,3248.418000,3251.105000,2.687000
916,3259.720000,3262.337000,2.617000
917,3269.985000,3272.838000,2.853000
918,3280.840000,3283.560000,2.720000
919,3291.251000,3293.900000,2.649000
920,3301.510000,3304.670000,3.160000
921,3312.697000,3315.380000,2.683000
922,3323.097000,3325.693000,2.596000
923,3333.373000,3336.101000,2.728000
924,3344.565000,3347.175000,2.610000
925,3355.149000,3357.784000,2.635000
926,3365.626000,3368.363000,2.737000
927,3376.616000,3379.265000,2.649000
928,3387.114000,3389.925000,2.811000
929,3397.750000,3400.553000,2.803000
930,3409.179000,3411.948000,2.769000
931,3419.907000,3422.651000,2.744000
932,3430.537000,3433.313000,2.776000
933,3442.010000,3444.647000,2.637000
934,3452.499000,3455.297000,2.798000
935,3463.366000,3466.027000,2.661000
936,3474.535000,3477.422000,2.887000
937,3485.475000,3488.467000,2.992000
938,3497.132000,3499.955000,2.823000
939,3508.139000,3511.000000,2.861000
940,3519.226000,3522.306000,3.080000
941,3530.948000,3533.741000,2.793000
942,3542.014000,3544.687000,2.673000
943,3552.784000,3555.826000,3.042000
944,3564.417000,3567.296000,2.879000
945,3575.363000,3578.019000,2.656000
946,3586.217000,3589.403000,3.186000
947,3597.940000,3600.800000,2.860000
948,3609.081000,3611.973000,2.892000
949,3620.648000,3623.811000,3.163000
950,3632.194000,3635.063000,2.869000
951,3643.501000,3646.165000,2.664000
952,3654.586000,3657.558000,2.972000
953,3666.320000,3669.222000,2.902000
954,3677.702000,3680.505000,2.803000
955,3688.935000,3692.285000,3.350000
956,3700.435000,3703.303000,2.868000
957,3712.658000,3715.671000,3.013000
958,3724.007000,3726.925000,2.918000
959,3735.279000,3738.467000,3.188000
960,3747.535000,3750.448000,2.913000
961,3759.031000,3761.939000,2.908000
962,3770.729000,3773.474000,2.745000
963,3782.220000,3785.171000,2.951000
964,3793.616000,3796.447000,2.831000
965,3805.380000,3808.840000,3.460000
966,3817.485000,3820.631000,3.146000
967,3828.972000,3831.881000,2.909000
968,3841.030000,3843.983000,2.953000
969,3852.441000,3855.479000,3.038000
970,3863.978000,3867.018000,3.040000
971,3876.070000,3878.946000,2.876000
972,3887.687000,3890.804000,3.117000
973,3899.544000,3902.493000,2.949000
974,3911.565000,3914.593000,3.028000
975,3923.974000,3927.303000,3.329000
976,3935.901000,3938.993000,3.092000
977,3947.503000,3950.577000,3.074000
978,3960.027000,3963.073000,3.046000
979,3971.887000,3974.829000,2.942000
980,3983.563000,3986.643000,3.080000
981,3995.806000,3998.834000,3.028000
982,4007.664000,4010.760000,3.096000
983,4019.546000,4022.834000,3.288000
984,4031.904000,4034.976000,3.072000
985,4043.879000,4046.829000,2.950000
986,4055.842000,4059.566000,3.724000
987,4068.545000,4071.688000,3.143000
988,4080.497000,4083.549000,3.052000
989,4093.028000,4096.000000,2.972000
990,4105.130000,4108.910000,3.780000
991,4118.050000,4121.382000,3.332000
992,4131.292000,4134.193000,2.901000
993,4143.610000,4146.833000,3.223000
994,4155.404000,4158.972000,3.568000
995,4167.884000,4171.236000,3.352000
996,4180.539000,4183.684000,3.145000
997,4192.714000,4195.743000,3.029000
998,4205.234000,4208.862000,3.628000
999,4218.069000,4221.395000,3.326000
1000,4230.845000,4233.961000,3.116000
1001,4243.914000,4247.110000,3.196000
1002,4256.166000,4259.368000,3.202000
1003,4268.390000,4271.836000,3.446000
1004,4281.279000,4284.458000,3.179000
1005,4293.792000,4296.917000,3.125000
1006,4306.317000,4309.819000,3.502000
1007,4318.972000,4322.327000,3.355000
1008,4332.119000,4335.353000,3.234000
1009,4344.580000,4347.720000,3.140000
1010,4357.797000,4361.145000,3.348000
1011,4370.823000,4373.847000,3.024000
1012,4383.173000,4386.435000,3.262000
1013,4396.194000,4399.436000,3.242000
1014,4408.896000,4411.996000,3.100000
1015,4421.655000,4425.403000,3.748000
1016,4434.766000,4438.036000,3.270000
1017,4447.380000,4450.676000,3.296000
1018,4460.756000,4463.898000,3.142000
1019,4473.307000,4476.575000,3.268000
1020,4485.960000,4489.431000,3.471000
1021,4499.266000,4502.528000,3.262000
