op,star,end,delta
188,37.017000,37.120000,0.103000
189,37.474000,37.578000,0.104000
190,37.935000,38.041000,0.106000
191,38.401000,38.508000,0.107000
192,38.870000,38.990000,0.120000
193,39.422000,39.531000,0.109000
194,39.936000,40.046000,0.110000
195,40.425000,40.537000,0.112000
196,40.920000,41.032000,0.112000
197,41.419000,41.532000,0.113000
198,41.960000,42.075000,0.115000
199,42.586000,42.708000,0.122000
200,43.129000,43.246000,0.117000
201,43.709000,43.827000,0.118000
202,44.232000,44.352000,0.120000
203,44.763000,44.884000,0.121000
204,45.304000,45.425000,0.121000
205,45.867000,45.990000,0.123000
206,46.410000,46.535000,0.125000
207,46.955000,47.081000,0.126000
208,47.510000,47.664000,0.154000
209,48.117000,48.245000,0.128000
210,48.678000,48.807000,0.129000
211,49.325000,49.475000,0.150000
212,50.040000,50.170000,0.130000
213,50.654000,50.786000,0.132000
214,51.275000,51.409000,0.134000
215,51.908000,52.043000,0.135000
216,52.546000,52.682000,0.136000
217,53.172000,53.308000,0.136000
218,53.801000,53.940000,0.139000
219,54.530000,54.670000,0.140000
220,55.130000,55.271000,0.141000
221,55.796000,55.977000,0.181000
222,56.492000,56.637000,0.145000
223,57.197000,57.343000,0.146000
224,57.942000,58.222000,0.280000
225,58.902000,59.074000,0.172000
226,59.701000,59.864000,0.163000
227,60.406000,60.557000,0.151000
228,61.060000,61.210000,0.150000
229,61.744000,61.898000,0.154000
230,62.409000,62.564000,0.155000
231,63.078000,63.233000,0.155000
232,63.817000,63.996000,0.179000
233,64.521000,64.678000,0.157000
234,65.207000,65.367000,0.160000
235,65.902000,66.063000,0.161000
236,66.636000,66.798000,0.162000
237,67.363000,67.527000,0.164000
238,68.102000,68.268000,0.166000
239,68.843000,69.010000,0.167000
240,69.584000,69.750000,0.166000
241,70.337000,70.506000,0.169000
242,71.126000,71.298000,0.172000
243,71.891000,72.063000,0.172000
244,72.787000,72.960000,0.173000
245,73.530000,73.704000,0.174000
246,74.280000,74.457000,0.177000
247,75.033000,75.211000,0.178000
248,75.883000,76.062000,0.179000
249,76.673000,76.853000,0.180000
250,77.455000,77.637000,0.182000
251,78.240000,78.423000,0.183000
