1,4.00003046E-06
382,4.95000277E-04
763,2.34000012E-03
1144,4.71500307E-03
1525,9.57399607E-03
1906,1.22459978E-02
2287,1.71460062E-02
2668,2.51210034E-02
3049,3.04200053E-02
3430,3.85590196E-02
3811,4.86559868E-02
4192,6.00910187E-02
4573,6.88070059E-02
4954,8.12910795E-02
5335,9.40029621E-02
5716,0.106077909    
6097,0.123053074    
6478,0.143166065    
6859,0.154774666    
7240,0.169975758    
7621,0.189431190    
8002,0.208814621    
8383,0.229868889    
8764,0.249931335    
9145,0.296730042    
9526,0.316551208    
9907,0.319818497    
10288,0.343951225    
10669,0.371747971    
11050,0.402946472    
11431,0.426832199    
11812,0.454673767    
12193,0.485111237    
12574,0.517284393    
12955,0.548473358    
13336,0.583301544    
13717,0.620231628    
14098,0.654228210    
14479,0.685859680    
14860,0.725074768    
15241,0.758823395    
15622,0.800354004    
16003,0.836158752 
